Velence,Hungarian town
Linda Hunt,Actress
Maureen Stapleton,Actress
Mary Steenburgen,Actress
Beatrice Straight,Actress
Vanessa Redgrave,Actress
Lee Grant,Actress
Eileen Heckart,Actress
Cloris Leachman,Actress
Ruth Gordon,Actress
Estelle Parsons,Actress
Sandy Dennis,Actress
Shelley Winters,Actress
Maggie Gyllenhaal,Actress
Katie Holmes,Actress
Patty Duke,Actress
Rita Moreno,Actress
Wendy Hiller,Actress
Miyoshi Umeki,Actress
Dorothy Malone,Actress
Jo Van Fleet,Actress
Eva Marie Saint,Actress
Gloria Grahame,Actress
Kim Hunter,Actress
Andrew Garfield,Actor
Jeremy Renner,Actor
Steve Carell,Actor
Jake Gyllenhaal,Actor
Chris Evans,Actor
James Franco,Actor
Zach Galifianakis,Actor
Will Ferrell,Actor
Shia LaBeouf,Actor
Seth Rogen,Actor
Joseph Gordon-Levitt,Actor
Ryan Reynolds,Actor
Paul Rudd,Actor
Jason Segel,Actor
Jason Statham,Actor
Justin Timberlake,Soundtrack
Dick Van Dyke,Actor
Zac Efron,Actor
Jesse Eisenberg,Actor
Owen Wilson,Actor
Jason Bateman,Actor
Tyler Perry,Writer
Liam Hemsworth,Actor
William Shatner,Actor
Shah Rukh Khan,Actor
Thora Birch,Actress
Claire Trevor,Actress
Celeste Holm,Actress
Anne Baxter,Actress
Queen Latifah,Actress
Ethel Barrymore,Actress
Rosario Dawson,Actress
Teresa Wright,Actress
Mary Astor,Actress
Jane Darwell,Actress
Alicia Vikander,Actress
Mia Wasikowska,Actress
Abigail Breslin,Actress
Gale Sondergaard,Actress
Melissa McCarthy,Actress
Tina Fey,Writer
Zoe Saldana,Actress
Elisabeth Moss,Actress
Adrianne Palicki,Actress
Jennifer Garner,Actress
Kristen Wiig,Actress
June Squibb,Actress
Sally Hawkins,Actress
Kaley Cuoco,Actress
Naomi Watts,Actress
Josh Hutcherson,Actor
Charlie Hunnam,Actor
Nicholas Hoult,Actor
Aaron Taylor-Johnson,Actor
Bryan Cranston,Actor
Gerard Butler,Actor
Paul Walker,Actor
Karl Urban,Actor
Logan Lerman,Actor
Dave Franco,Actor
Tom Hiddleston,Actor
Peter Dinklage,Actor
Taylor Kitsch,Actor
Alex Pettyfer,Actor
Guy Pearce,Actor
Mark Ruffalo,Actor
Mickey Rourke,Actor
Frank Langella,Actor
Eddie Redmayne,Actor
David Strathairn,Actor
Terrence Howard,Actor
Don Cheadle,Actor
Tom Wilkinson,Actor
Richard Farnsworth,Actor
Nick Nolte,Actor
AnnaSophia Robb,Actress
Gemma Arterton,Actress
Olivia Wilde,Actress
Isla Fisher,Actress
Shailene Woodley,Actress
Rebel Wilson,Actress
Emma Roberts,Actress
Amber Heard,Actress
Teresa Palmer,Actress
Saoirse Ronan,Actress
Elizabeth Banks,Actress
Kristen Bell,Actress
Natalie Dormer,Actress
Brittany Snow,Actress
Kate Mara,Actress
Julianne Hough,Self
Lily Collins,Actress
Cobie Smulders,Actress
Alice Eve,Actress
Jamie Chung,Actress
Noomi Rapace,Actress
Blake Lively,Actress
Maggie Grace,Actress
Jessica Biel,Actress
Eva Green,Actress
Peter Fonda,Actor
Woody Harrelson,Actor
Billy Bob Thornton,Actor
Idris Elba,Actor
Nigel Hawthorne,Actor
Laurence Fishburne,Actor
Stephen Rea,Actor
Warren Beatty,Actor
Gérard Depardieu,Actor
Richard Harris,Actor
Kenneth Branagh,Actor
Edward James Olmos,Actor
Max von Sydow,Actor
Marcello Mastroianni,Actor
Bob Hoskins,Actor
James Woods,Actor
John Hawkes,Actor
James Garner,Actor
Sam Waterston,Actor
Tom Hulce,Actor
Albert Finney,Actor
Tom Conti,Actor
Tom Courtenay,Actor
Dudley Moore,Actor
John Hurt,Actor
Kat Dennings,Actress
Quvenzhané Wallis,Actress
Emmanuelle Riva,Actress
Greta Gerwig,Actress
Brie Larson,Actress
Jessica Lucas,Actress
Liv Ullmann,Actress
Maria Falconetti,Actress
Setsuko Hara,Actress
Rosalind Russell,Actress
Linda Fiorentino,Actress
Gabourey Sidibe,Actress
Catherine Deneuve,Actress
Mia Farrow,Actress
Audrey Tautou,Actress
Jeanne Moreau,Actress
Isabelle Huppert,Actress
Gena Rowlands,Actress
Lesley Manville,Actress
Elizabeth Olsen,Actress
Nastassja Kinski,Actress
Mélanie Laurent,Actress
Whitney Houston,Actress
Felicity Huffman,Actress
Imelda Staunton,Actress
Oscar Isaac,Actor
Jon Heder,Actor
Miles Teller,Actor
Daniel Brühl,Actor
James Gandolfini,Actor
Michael B. Jordan,Actor
Anthony Perkins,Actor
David Thewlis,Actor
Klaus Kinski,Actor
Malcolm McDowell,Actor
Ray Winstone,Actor
Jean-Paul Belmondo,Actor
Andy Serkis,Actor
Matthew Broderick,Actor
Dennis Hopper,Actor
Michael Rooker,Actor
Vincent Gallo,Actor
Toshirô Mifune,Actor
Vincent Cassel,Actor
J.K. Simmons,Actor
Boris Karloff,Actor
Peter Lorre,Actor
Antonio Banderas,Actor
Paddy Considine,Actor
Ryan Phillippe,Actor
Kerry Washington,Actress
Carrie-Anne Moss,Actress
Janet Leigh,Actress
Catalina Sandino Moreno,Actress
Samantha Morton,Actress
Keisha Castle-Hughes,Actress
Salma Hayek,Actress
Joan Allen,Actress
Janet McTeer,Actress
Fernanda Montenegro,Actress
Kristin Scott Thomas,Actress
Brenda Blethyn,Actress
Elisabeth Shue,Actress
Miranda Richardson,Actress
Stockard Channing,Actress
Angela Bassett,Actress
Mary McDonnell,Actress
Catherine Deneuve,Actress
Laura Dern,Actress
Pauline Collins,Actress
Isabelle Adjani,Actress
Melanie Griffith,Actress
Sally Kirkland,Actress
Jane Alexander,Actress
Marsha Mason,Actress
Freddie Highmore,Actor
Michael J. Fox,Actor
Eddie Murphy,Actor
Yun-Fat Chow,Actor
Seth MacFarlane,Writer
Bruce Lee,Actor
Jet Li,Actor
Chuck Norris,Actor
Jean-Claude Van Damme,Actor
Sam Rockwell,Actor
Takashi Shimura,Actor
Richard E. Grant,Actor
Leslie Nielsen,Actor
Simon Pegg,Actor
John Malkovich,Actor
Michael Shannon,Actor
Martin Sheen,Actor
Christopher Guest,Actor
Alan Rickman,Actor
Jackie Earle Haley,Actor
Montgomery Clift,Actor
James Spader,Actor
Eric Bana,Actor
Romain Duris,Actor
Robert Shaw,Actor
Jacki Weaver,Actress
Bérénice Bejo,Actress
Hailee Steinfeld,Actress
Jennifer Jason Leigh,Actress
Kathleen Quinlan,Actress
Taraji P. Henson,Actress
Amy Ryan,Actress
Ruby Dee,Actress
Jill Clayburgh,Actress
Adriana Barraza,Actress
Rinko Kikuchi,Actress
Catherine Keener,Actress
Charlotte Rampling,Actress
Sophie Okonedo,Actress
Patricia Clarkson,Actress
Shohreh Aghdashloo,Actress
Lindsay Lohan,Actress
Michelle Trachtenberg,Actress
Chloë Sevigny,Actress
Lynn Redgrave,Actress
Rachel Griffiths,Actress
Margot Robbie,Actress
Lili Taylor,Actress
Robin Weigert,Actress
Lake Bell,Actress
Claude Rains,Actor
Steve Buscemi,Actor
John Rhys-Davies,Actor
Jean-Louis Trintignant,Actor
Joseph Cotten,Actor
Barry Pepper,Actor
Erich von Stroheim,Actor
Patrick Wilson,Actor
Christopher Lloyd,Actor
Ben Foster,Actor
Joel McCrea,Actor
Min-sik Choi,Actor
Ewan McGregor,Actor
Gael García Bernal,Actor
Bruno Ganz,Actor
Sean Astin,Actor
Irrfan Khan,Actor
Michael C. Hall,Actor
Roy Scheider,Actor
Casey Affleck,Actor
Gary Busey,Actor
Norman Reedus,Actor
Jeff Daniels,Actor
Stanley Tucci,Actor
Kiefer Sutherland,Actor
Léa Seydoux,Actress
Dakota Johnson,Actress
Julie Delpy,Actress
Linda Hamilton,Actress
Carrie Fisher,Actress
Pam Grier,Actress
Björk,Composer
Emily Browning,Actress
Juliette Lewis,Actress
Sarah Jessica Parker,Actress
Piper Laurie,Actress
Miley Cyrus,Actress
Lily Tomlin,Actress
Anna Friel,Actress
Gloria Stuart,Actress
Talia Shire,Actress
Donna Reed,Actress
Sue Lyon,Actress
Olivia Newton-John,Actress
Minnie Driver,Actress
Teri Garr,Actress
Keri Russell,Actress
Jean Seberg,Actress
Sarah Polley,Actress
Kate Capshaw,Actress
Josh Brolin,Actor
Hal Holbrook,Actor
Djimon Hounsou,Actor
Matt Dillon,Actor
Alan Alda,Actor
Thomas Haden Church,Actor
Clive Owen,Actor
Ken Watanabe,Actor
Suraj Sharma,Actor
John C. Reilly,Actor
Michael Clarke Duncan,Actor
Haley Joel Osment,Actor
Greg Kinnear,Actor
Burt Reynolds,Actor
Robert Forster,Actor
Jason Schwartzman,Actor
William H. Macy,Actor
Armin Mueller-Stahl,Actor
Tim Roth,Actor
James Cromwell,Actor
Chazz Palminteri,Actor
Gary Sinise,Actor
Paul Scofield,Actor
Pete Postlethwaite,Actor
Mads Mikkelsen,Actor
Jada Pinkett Smith,Actress
Tatum O'Neal,Actress
Anna Faris,Actress
Ashley Greene,Actress
Famke Janssen,Actress
Rosamund Pike,Actress
Bonnie Hunt,Producer
Leslie Mann,Actress
Mindy Kaling,Actress
Analeigh Tipton,Actress
Thandie Newton,Actress
Amanda Peet,Actress
Julia Stiles,Actress
Maria Bello,Actress
Eva Mendes,Actress
Emily Blunt,Actress
Rose Byrne,Actress
Ashley Judd,Actress
Emilia Clarke,Actress
Christina Applegate,Actress
Nia Long,Actress
Felicity Jones,Actress
Téa Leoni,Actress
Alexandra Daddario,Actress
Jena Malone,Actress
Richard Gere,Actor
Nick Frost,Actor
Ray Liotta,Actor
Chris Rock,Producer
Jon Hamm,Actor
Neil Patrick Harris,Actor
Charlie Sheen,Actor
Mark Rylance,Actor
Andy Garcia,Actor
Michael Lerner,Actor
Graham Greene,Actor
Bruce Davison,Actor
Dan Aykroyd,Writer
Danny Aiello,Actor
River Phoenix,Actor
Dean Stockwell,Actor
Billy Crystal,Actor
John Goodman,Actor
Orlando Bloom,Actor
Stellan Skarsgård,Actor
Alexander Skarsgård,Actor
Mike Myers,Actor
Tyrese Gibson,Actor
Elijah Wood,Actor
Danny DeVito,Actor
Lucy Liu,Actress
Rebecca Romijn,Actress
Michelle Rodriguez,Actress
Sarah Michelle Gellar,Actress
Beyoncé Knowles,Actress
Rebecca Hall,Actress
Piper Perabo,Actress
Courteney Cox,Actress
Parker Posey,Actress
Paula Patton,Actress
Michelle Monaghan,Actress
Claire Danes,Actress
Ali Larter,Actress
Kate Bosworth,Actress
Evan Rachel Wood,Actress
Mira Sorvino,Actress
Ziyi Zhang,Actress
Amanda Crew,Actress
Amanda Bynes,Actress
Lisa Kudrow,Actress
Neve Campbell,Actress
Ellen DeGeneres,Producer
Sofía Vergara,Actress
Mandy Moore,Actress
Virginia Madsen,Actress
James Marsden,Actor
Tim Allen,Actor
Giovanni Ribisi,Actor
Rutger Hauer,Actor
Vince Vaughn,Producer
Brian Cox,Actor
Dennis Quaid,Actor
John Leguizamo,Actor
Michael Keaton,Actor
Billy Burke,Actor
Brendan Gleeson,Actor
Clark Gregg,Actor
Jonathan Pryce,Actor
Tobey Maguire,Actor
Michael Sheen,Actor
Justin Long,Actor
Kellan Lutz,Actor
Jack Black,Actor
Pierce Brosnan,Actor
Sean Bean,Actor
Cedric the Entertainer,Actor
Taylor Lautner,Actor
Josh Duhamel,Actor
Jon Favreau,Producer
Danny Glover,Actor
Freida Pinto,Actress
Hilary Duff,Actress
Mary Elizabeth Winstead,Actress
Jennifer Coolidge,Actress
Andrea Riseborough,Actress
Molly Ringwald,Actress
January Jones,Actress
Maya Rudolph,Actress
Sophie Marceau,Actress
Olga Kurylenko,Actress
Franka Potente,Actress
Rashida Jones,Actress
Alicia Silverstone,Actress
Rosie Huntington-Whiteley,Actress
Lillian Gish,Actress
Evangeline Lilly,Actress
Mireille Enos,Actress
Jennifer Love Hewitt,Actress
Emmy Rossum,Actress
Joey King,Actress
Ginnifer Goodwin,Actress
Christine Taylor,Actress
Vanessa Hudgens,Actress
Abbie Cornish,Actress
Michelle Yeoh,Actress
Ian Holm,Actor
Nathan Lane,Actor
Cary Elwes,Actor
Martin Lawrence,Actor
Steve Coogan,Actor
Sacha Baron Cohen,Actor
Jeffrey Wright,Actor
Jackie Chan,Actor
Aaron Eckhart,Actor
Sam Worthington,Actor
Jack Davenport,Actor
Alfred Molina,Actor
Justin Bartha,Actor
Mark Hamill,Actor
Brendan Fraser,Actor
Ice Cube,Producer
Liev Schreiber,Actor
Ed Helms,Actor
Val Kilmer,Actor
Russell Brand,Actor
Craig T. Nelson,Actor
Bernie Mac,Actor
Patrick Stewart,Actor
Seth Green,Actor
Ashton Kutcher,Actor
Randy Quaid,Actor
Wesley Snipes,Actor
Ludacris,Soundtrack
David Oyelowo,Actor
Mark Strong,Actor
Rob Schneider,Actor
Jay Baruchel,Actor
Hayden Christensen,Actor
Ray Stevenson,Actor
Paul Bettany,Actor
Hugh Laurie,Actor
Chris Tucker,Actor
Nick Swardson,Actor
Josh Lucas,Actor
Chris O'Donnell,Actor
Benjamin Bratt,Actor
Common,Actor
Johnny Knoxville,Writer
Marlon Wayans,Actor
Jai Courtney,Actor
Albert Brooks,Actor
Macaulay Culkin,Actor
Sam Elliott,Actor
Jim Caviezel,Actor
Paul Scofield,Actor
Jared Harris,Actor
Harpo Marx,Actor
Jason Sudeikis,Actor
Josh Hartnett,Actor
Patrick Wilson,Actor
Cillian Murphy,Actor
Billy Crudup,Actor
Christopher Mintz-Plasse,Actor
Anthony Mackie,Actor
Timothy Olyphant,Actor
Josh Gad,Actor
Luke Wilson,Actor
Peter Sarsgaard,Actor
Rhys Ifans,Actor
Topher Grace,Actor
Kevin Hart,Producer
Paul Dano,Actor
Lenny Kravitz,Actor
Bill Hader,Actor
Rob Lowe,Actor
David Spade,Actor
Rob Riggle,Self
Lance Henriksen,Actor
Richard Jenkins,Actor
Mike Vogel,Actor
Michael Ealy,Actor
Freddie Prinze Jr.,Actor
Jamie Bell,Actor
Danny McBride,Actor
Jonathan Rhys Meyers,Actor
Michael Cera,Actor
Bill Paxton,Actor
Chris Klein,Actor
Ioan Gruffudd,Actor
Andrew Lincoln,Actor
Bill Pullman,Actor
Craig Robinson,Actor
Charlie Day,Actor
Andy Samberg,Actor
Garrett Hedlund,Actor
Cam Gigandet,Actor
John Krasinski,Actor
Kevin James,Actor
Breckin Meyer,Actor
Christopher Reeve,Actor
James McAvoy,Actor
Rufus Sewell,Actor
Ned Beatty,Actor
John Cleese,Actor
John Turturro,Actor
